order_time,original_product_id,age,price,age_range,prefecture,area,tab,big_category,middle_category,color,favorite,review
2015/07/07 0:00:00,784307,26,765,25歳-29歳,兵庫県,近畿,キッズ,トップス,Ｔシャツ,ピンク,215,5
2015/08/27 0:00:00,731949,24,422,20歳-24歳,東京都,関東,レディース,アクセサリー,リング,F,2846,4.02
2013/10/29 0:00:00,310649,22,2392,20歳-24歳,山梨県,中部,レディース,シューズ,ローファー,M(003),665,3.73
2014/10/20 0:00:00,583148,37,2500,35歳-39歳,富山県,中部,レディース,ワンピース・ドレス,ワンピース,,34,0
2017/01/09 0:00:00,961979,38,1380,35歳-39歳,千葉県,関東,レディース,トップス,カットソー,M,4166,3.54
2015/09/17 0:00:00,808306,19,3332,15歳-19歳,新潟県,中部,メンズ,パンツ,カーゴパンツ,M,76,4
2015/11/01 0:00:00,633856,38,980,35歳-39歳,徳島県,四国,キッズ,インナー,レギンス・スパッツ,チャコール,276,4.28
2015/04/06 0:00:00,501580,21,1780,20歳-24歳,東京都,関東,レディース,シューズ,スニーカー,S(000),5529,4.01
2014/03/29 0:00:00,236076,48,2412,45歳-49歳,群馬県,関東,不明,,,L,351,4.07
2015/05/08 0:00:00,475274,19,465,15歳-19歳,東京都,関東,レディース,シューズ,サンダル,シルバー,36225,4.3
2014/05/13 0:00:00,413691,55,2600,55歳-59歳,北海道,北海道,レディース,シューズ,スニーカー,37,1797,4.05
2015/08/28 0:00:00,331947,30,934,30歳-34歳,長野県,中部,キッズ,キッズ,キッズトップス,130,2836,3.91
2015/06/29 0:00:00,779841,24,4125,20歳-24歳,千葉県,関東,レディース,水着,ビキニ,ホワイト,5443,3.83
2015/11/03 0:00:00,853792,31,665,30歳-34歳,東京都,関東,キッズ,インナー,タイツ・ストッキング,90,9,0
2014/01/22 0:00:00,196097,19,1886,15歳-19歳,福岡県,九州,不明,,,Black,3858,4.02
2016/02/19 0:00:00,864024,25,2850,25歳-29歳,香川県,四国,レディース,ワンピース・ドレス,ワンピース,ブラック,1955,3
2016/05/19 0:00:00,990225,25,2380,25歳-29歳,青森県,東北,レディース,トップス,カットソー,フリー,2436,3.33
2014/01/15 0:00:00,375787,27,630,25歳-29歳,京都府,近畿,レディース,コスメ,ヘアケア・スタイリング,,12,0
2013/03/22 0:00:00,139454,22,2171,20歳-24歳,大阪府,近畿,レディース,シューズ,パンプス,M(001),518,3.31
2016/01/05 0:00:00,822803,28,1821,25歳-29歳,東京都,関東,レディース,インナー,ブラ&ショーツセット,ホワイト,6667,3.98
2016/02/22 0:00:00,941549,26,3940,25歳-29歳,大阪府,近畿,レディース,パンツ,パンツ全般,,262,0
2016/10/10 0:00:00,1236046,48,3312,45歳-49歳,長崎県,九州,レディース,シューズ,サンダル,ベージュ,1390,4.66
2016/07/10 0:00:00,761992,16,1380,15歳-19歳,埼玉県,関東,レディース,シューズ,サンダル,ホワイト,28255,3.79
2014/05/31 0:00:00,234673,30,1025,30歳-34歳,岡山県,中国,レディース,トップス,タンクトップ,ブラック,804,3.48
2017/02/01 0:00:00,1242932,30,555,30歳-34歳,千葉県,関東,レディース,インナー,インナーキャミソール,-,1585,3.54
2015/03/09 0:00:00,411668,24,981,20歳-24歳,東京都,関東,レディース,トップス,カットソー,ホワイト,10591,3.75
2016/05/22 0:00:00,1144272,34,3241,30歳-34歳,奈良県,近畿,レディース,アウター,トレンチコート,Mサイズ,479,0
2015/05/21 0:00:00,743761,30,3058,30歳-34歳,佐賀県,九州,レディース,パンツ,オールインワン,M(001),854,3.8
2014/06/04 0:00:00,463477,24,1380,20歳-24歳,宮崎県,九州,レディース,トップス,チュニック,ブラック,2147,3.13
2016/07/08 0:00:00,751920,45,1780,45歳-49歳,東京都,関東,レディース,シューズ,ウェッジソール,ブラック,71664,3.54
